|   iter    |  target   |   alpha   |     k     |     l     |
|  9        | -3.669e+0 |  0.0455   |  1.467    |  13.31    |
|  10       | -1.579e+0 |  0.1453   |  3.186    |  3.531    |
|  11       | -1.329e+0 |  0.09405  |  2.27     |  7.135    |
|  12       | -2.148e+0 |  0.1911   |  2.992    |  7.119    |
|  13       | -2.428e+0 |  0.09775  |  3.524    |  13.73    |
|  14       | -1.491e+0 |  0.1438   |  3.421    |  3.265    |
|  15       | -1.074e+0 |  0.171    |  3.158    |  12.86    |
|  16       | -495.1    |  0.1354   |  2.644    |  5.982    |
|  17       | -3.736e+0 |  0.02815  |  1.418    |  5.119    |
|  18       | -2.102e+0 |  0.0548   |  3.293    |  1.869    |
|  19       | -505.1    |  0.1089   |  3.161    |  1.003    |
|  20       | -349.2    |  0.1196   |  1.338    |  2.518    |
|  21       | -794.5    |  0.1227   |  2.672    |  9.497    |
|  22       | -1.747e+0 |  0.1496   |  3.376    |  3.293    |
|  23       | -592.2    |  0.09418  |  3.368    |  3.243    |
|  24       | -492.7    |  0.1358   |  2.655    |  5.974    |
|  25       | -404.4    |  0.1062   |  3.161    |  1.003    |
|  26       | -1.05e+03 |  0.1531   |  2.65     |  5.982    |
|  27       | -3.466e+0 |  0.04601  |  1.194    |  10.15    |
|  28       | -1.33e+03 |  0.07716  |  3.345    |  3.258    |
|  29       | -1.036e+0 |  0.1526   |  3.145    |  12.84    |
|  30       | -1.941e+0 |  0.1678   |  2.256    |  4.849    |
|  31       | -307.4    |  0.1173   |  3.339    |  3.245    |
|  32       | -424.1    |  0.1331   |  2.649    |  5.977    |
|  33       | -977.7    |  0.1324   |  3.342    |  3.225    |
|  34       | -1.285e+0 |  0.1086   |  2.674    |  9.527    |
|  35       | -429.9    |  0.1331   |  2.649    |  5.977    |
|  36       | -1.634e+0 |  0.147    |  3.338    |  3.22     |
|  37       | -76.71    |  0.1098   |  3.337    |  3.278    |
|  38       | -689.4    |  0.1425   |  2.637    |  6.0      |
|  39       | -1.053e+0 |  0.1338   |  3.333    |  3.235    |
|  40       | -1.047e+0 |  0.1529   |  2.658    |  5.998    |
|  41       | -1.26e+03 |  0.1391   |  3.328    |  3.285    |
|  42       | -1.028e+0 |  0.1542   |  3.146    |  12.84    |
|  43       | -306.0    |  0.1264   |  2.649    |  5.976    |
|  44       | -372.7    |  0.1196   |  1.338    |  2.518    |
|  45       | -2.474e+0 |  0.05095  |  3.536    |  2.699    |
|  46       | -852.9    |  0.1509   |  1.709    |  12.38    |
|  47       | -4.832e+0 |  0.003107 |  3.327    |  12.97    |
|  48       | -1.045e+0 |  0.1622   |  3.242    |  12.56    |
|  49       | -1.848e+0 |  0.1193   |  2.398    |  13.85    |
|  50       | -2.756e+0 |  0.05374  |  2.989    |  6.327    |
|  51       | -4.199e+0 |  0.0167   |  1.607    |  4.872    |
|  52       | -4.247e+0 |  0.01332  |  2.526    |  2.407    |
|  53       | -2.224e+0 |  0.07177  |  1.397    |  6.772    |
|  54       | -659.1    |  0.1311   |  1.748    |  9.357    |
|  55       | -1.362e+0 |  0.1984   |  3.573    |  12.76    |
=============================================================
|   iter    |  target   |   alpha   |     k     |     l     |
-------------------------------------------------------------
|  1        | -1.67e+03 |  0.0834   |  3.161    |  1.001    |
|  2        | -760.3    |  0.06047  |  1.44     |  2.2      |
|  3        | -65.41    |  0.03725  |  2.037    |  6.158    |
|  4        | -735.5    |  0.1078   |  2.258    |  9.908    |
|  5        | -399.4    |  0.04089  |  3.634    |  1.356    |
|  6        | -270.8    |  0.07517  |  3.37     |  11.07    |
|  7        | -1.789e+0 |  0.1065   |  3.362    |  3.274    |
|  8        | -805.1    |  0.1192   |  1.783    |  10.71    |
|  9        | -89.29    |  0.0455   |  1.467    |  13.31    |
|  10       | -2.714e+0 |  0.1453   |  3.186    |  3.531    |
|  11       | -61.24    |  0.03761  |  2.037    |  6.158    |
|  12       | -407.7    |  0.06045  |  2.042    |  6.169    |
|  13       | -462.0    |  0.09511  |  3.354    |  11.09    |
|  14       | -65.74    |  0.03757  |  2.034    |  6.191    |
|  15       | -294.7    |  0.05397  |  2.029    |  6.196    |
|  16       | -46.99    |  0.02922  |  2.008    |  6.211    |
|  17       | -568.6    |  0.002257 |  2.017    |  6.224    |
|  18       | -323.7    |  0.02483  |  1.454    |  13.33    |
|  19       | -3.451e+0 |  0.1879   |  3.85     |  4.629    |
|  20       | -77.62    |  0.05418  |  1.452    |  13.31    |
|  21       | -208.8    |  0.03537  |  1.449    |  13.32    |
|  22       | -122.7    |  0.04272  |  1.454    |  13.32    |
|  23       | -202.1    |  0.04847  |  2.013    |  6.199    |
|  24       | -38.55    |  0.03147  |  2.014    |  6.205    |
|  25       | -66.57    |  0.03813  |  2.042    |  6.181    |
|  26       | -143.1    |  0.04193  |  1.498    |  13.35    |
|  27       | -54.76    |  0.04601  |  1.194    |  10.15    |
|  28       | -74.61    |  0.05061  |  1.446    |  13.34    |
|  29       | -406.5    |  0.01791  |  1.475    |  13.31    |
|  30       | -2.662e+0 |  0.1678   |  2.256    |  4.849    |
|  31       | -269.6    |  0.07589  |  3.369    |  11.07    |
|  32       | -287.5    |  0.02772  |  1.485    |  13.34    |
|  33       | -117.4    |  0.04473  |  1.492    |  13.35    |
|  34       | -275.1    |  0.07183  |  1.173    |  10.18    |
|  35       | -173.6    |  0.02209  |  2.048    |  6.163    |
|  36       | -105.4    |  0.06306  |  1.505    |  13.33    |
|  37       | -220.0    |  0.02064  |  1.171    |  5.805    |
|  38       | -392.5    |  0.01111  |  1.997    |  6.208    |
|  39       | -146.2    |  0.07074  |  1.523    |  13.33    |
|  40       | -270.1    |  0.07612  |  3.369    |  11.07    |
